TIMESTAMP 8-11-2019  18:0:45
k	@MtÍ*ÿ
Starting Test
 T1	T2	period	flow	freq	t
 [C]	[C]	[us]	[l/m]	[Hz]	[millis]
 nan 	nan 	3955 	12.60 	252 	118426
 nan 	nan 	4547 	10.95 	219 	118571
 nan 	nan 	4879 	10.20 	204 	118718
 nan 	nan 	5659 	8.80 	176 	118868
 nan 	nan 	6810 	7.30 	146 	119019
 nan 	nan 	8449 	5.90 	118 	119175
 nan 	nan 	10854 	4.60 	92 	119341
 nan 	nan 	13219 	3.75 	75 	119508
 nan 	nan 	20476 	2.40 	48 	119694
 nan 	nan 	12230 	4.05 	81 	120832
 nan 	nan 	0 	0.00 	0 	122349
 nan 	nan 	0 	0.00 	0 	123868
 nan 	nan 	0 	0.00 	0 	125385
 nan 	nan 	0 	0.00 	0 	126903
 nan 	nan 	0 	0.00 	0 	128421
 nan 	nan 	0 	0.00 	0 	129939
 nan 	nan 	0 	0.00 	0 	131457
 nan 	nan 	0 	0.00 	0 	132975
 nan 	nan 	0 	0.00 	0 	134493
 nan 	nan 	2587 	19.30 	386 	135534
 nan 	nan 	62 	806.45 	16129 	135692
 nan 	nan 	0 	0.00 	0 	137209
 nan 	nan 	0 	0.00 	0 	138728
 nan 	nan 	0 	0.00 	0 	140246
 nan 	nan 	0 	0.00 	0 	141763
 nan 	nan 	0 	0.00 	0 	143282
